word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
dziedziczyć,U,4.6666665,1.962963,2.1851852,2.5185184,1.5555556
purpurowy,U,3.1111112,2.1851852,1.8148148,2.074074,2.074074
Amerykanin,U,3.5185184,1.8888888,1.6296296,1.4814814,1.6296296
karać,U,1.2962962,4.0740743,4.0740743,4.296296,3.1851852
utonąć,U,1.074074,2.851852,5.037037,5.851852,2.7037036
tenor,U,3.851852,1.3333334,1.2222222,1.2592592,1.3703704
alkohol,U,3.4074075,2.8888888,3.0370371,3.0370371,2.8888888
pożyczka,U,1.5555556,3.5555556,3.7037036,4.851852,2.925926
trucizna,U,1.2222222,4.259259,4.296296,5.5185184,5.111111
wytworny,U,4.7777777,1.7037038,1.2962962,1.2962962,1.2962962
pielęgnować,U,5,1.5185186,1.7037038,2.0370371,1.5185186
skakać,U,5.0740743,1.4814814,1.2222222,2.2222223,1.037037
działanie,U,5,1.5925926,1.1851852,2.7407408,1.3333334
rola,U,3.7407408,1.7407408,1.6296296,2.7777777,1.5185186
chlać,U,2.925926,3.2962964,3.5185184,3.074074,3.8148148
sojusz,U,4.3333335,1.4074074,1.2592592,1.7777778,1.2962962
telefon,U,4.259259,2.5925925,1.2222222,2.5925925,1.6666666
mech,U,3.2962964,1.3333334,1.5185186,1.3333334,1.5925926
wariat,U,3.074074,2.074074,2.7037036,3.7407408,2.0370371
czytać,U,5.037037,1.3333334,1.3703704,1.1111112,1.1111112
egzystencjalny,U,3,1.7777778,2.2962964,2.148148,1.3333334
wyjście,U,3.925926,1.6666666,1.925926,2.1851852,1.2222222
nieudacznik,U,1.1111112,3.6296296,4.6296296,3.1851852,3.1851852
adwentowy,U,3.3703704,1.8148148,1.962963,1.4814814,1.6666666
wahadło,U,1.6538461,1.8076923,1.8461539,2.3076923,1.5769231
równowaga,U,4.5,1.6923077,1.4615384,1.5,1.1923077
martwy,U,1.2692307,2.8461537,5.4615383,5.1153846,3.5384614
wilczur,U,2.7307692,2.4230769,1.7692307,3.7692308,2.1923077
